gene,cluster.1,ave_zscore_path.1,mean_trend.1,ave_zscore_cluster.1,new_name.1,new_cluster.1,cluster.4,ave_zscore_path.4,mean_trend.4,ave_zscore_cluster.4,new_name.4,new_cluster.4,cluster.3,ave_zscore_path.3,mean_trend.3,ave_zscore_cluster.3,new_name.3,new_cluster.3,cluster.2,ave_zscore_path.2,mean_trend.2,ave_zscore_cluster.2,new_name.2,new_cluster.2
TESK2,4,-0.220765882168271,-0.185068624920097,-0.185068624920097,gene set #5 (n = 96),5,4,0.78807109460973,0.412764037994001,0.412764037994001,gene set #5 (n = 96),5,4,-0.404244001358505,-0.29677279312023,-0.29677279312023,gene set #5 (n = 96),5,4,-0.224372414695081,0.0187596770360405,0.0187596770360405,gene set #5 (n = 96),5
PRDX1,5,-0.134658291049622,-0.19488990843735,-0.19488990843735,gene set #3 (n = 192),3,5,-0.0346628026749761,-0.181454812085187,-0.181454812085187,gene set #3 (n = 192),3,5,0.572565394815108,0.571728057847932,0.571728057847932,gene set #3 (n = 192),3,5,-0.419638127363113,-0.225698237789196,-0.225698237789196,gene set #3 (n = 192),3
SPATA6,3,0.50278000578958,0.314163424004578,0.314163424004578,gene set #4 (n = 120),4,3,0.00264461697890903,0.0462316049884328,0.0462316049884328,gene set #4 (n = 120),4,3,-0.779917937806082,-0.640088193907335,-0.640088193907335,gene set #4 (n = 120),4,3,0.370521574378622,0.335779898815192,0.335779898815192,gene set #4 (n = 120),4
AGBL4,3,0.300604544566245,0.314163424004578,0.314163424004578,gene set #4 (n = 120),4,3,0.0952056000735117,0.0462316049884328,0.0462316049884328,gene set #4 (n = 120),4,3,-0.617565192610065,-0.640088193907335,-0.640088193907335,gene set #4 (n = 120),4,3,0.275290322546877,0.335779898815192,0.335779898815192,gene set #4 (n = 120),4
SSBP3,5,-0.339424912313115,-0.19488990843735,-0.19488990843735,gene set #3 (n = 192),3,5,-0.12099504501735,-0.181454812085187,-0.181454812085187,gene set #3 (n = 192),3,5,0.784727875915221,0.571728057847932,0.571728057847932,gene set #3 (n = 192),3,5,-0.382515516915598,-0.225698237789196,-0.225698237789196,gene set #3 (n = 192),3
PLPP3,6,-0.179234831992503,-0.0425365617605956,-0.0425365617605956,gene set #2 (n = 130),2,6,-0.119939618542244,-0.195962478720586,-0.195962478720586,gene set #2 (n = 130),2,6,-0.351616497182839,-0.22894903185774,-0.22894903185774,gene set #2 (n = 130),2,6,0.600413255791552,0.451761454705509,0.451761454705509,gene set #2 (n = 130),2
DAB1,5,0.134644891165711,-0.19488990843735,-0.19488990843735,gene set #3 (n = 192),3,5,-0.383253951161152,-0.181454812085187,-0.181454812085187,gene set #3 (n = 192),3,5,0.715726554333559,0.571728057847932,0.571728057847932,gene set #3 (n = 192),3,5,-0.417693633445171,-0.225698237789196,-0.225698237789196,gene set #3 (n = 192),3
FGGY,3,0.27654233304714,0.314163424004578,0.314163424004578,gene set #4 (n = 120),4,3,0.1030215827206,0.0462316049884328,0.0462316049884328,gene set #4 (n = 120),4,3,-0.803885709683799,-0.640088193907335,-0.640088193907335,gene set #4 (n = 120),4,3,0.467526801294021,0.335779898815192,0.335779898815192,gene set #4 (n = 120),4
DOCK7,1,0.277243843721152,0.342931763470146,0.342931763470146,gene set #1 (n = 135),1,1,0.0202697043746902,-0.28279541244214,-0.28279541244214,gene set #1 (n = 135),1,1,0.491917332353325,0.066746385449054,0.066746385449054,gene set #1 (n = 135),1,1,-0.712838266965995,-0.0460331914339735,-0.0460331914339735,gene set #1 (n = 135),1
CACHD1,1,0.517390253526806,0.342931763470146,0.342931763470146,gene set #1 (n = 135),1,1,-0.532439231962449,-0.28279541244214,-0.28279541244214,gene set #1 (n = 135),1,1,0.0133933957679169,0.066746385449054,0.066746385449054,gene set #1 (n = 135),1,1,0.121396753885911,-0.0460331914339735,-0.0460331914339735,gene set #1 (n = 135),1
DNAJC6,3,0.208568418407075,0.314163424004578,0.314163424004578,gene set #4 (n = 120),4,3,-0.100694385596941,0.0462316049884328,0.0462316049884328,gene set #4 (n = 120),4,3,-0.446041575884771,-0.640088193907335,-0.640088193907335,gene set #4 (n = 120),4,3,0.374861753068969,0.335779898815192,0.335779898815192,gene set #4 (n = 120),4
LEPR,6,0.136673081012662,-0.0425365617605956,-0.0425365617605956,gene set #2 (n = 130),2,6,-0.156713566995881,-0.195962478720586,-0.195962478720586,gene set #2 (n = 130),2,6,-0.413092148748108,-0.22894903185774,-0.22894903185774,gene set #2 (n = 130),2,6,0.454080470125324,0.451761454705509,0.451761454705509,gene set #2 (n = 130),2
PDE4B,6,0.0703324495148538,-0.0425365617605956,-0.0425365617605956,gene set #2 (n = 130),2,6,-0.269076313283025,-0.195962478720586,-0.195962478720586,gene set #2 (n = 130),2,6,-0.353918501254816,-0.22894903185774,-0.22894903185774,gene set #2 (n = 130),2,6,0.559818096930138,0.451761454705509,0.451761454705509,gene set #2 (n = 130),2
SGIP1,6,0.108818031072704,-0.0425365617605956,-0.0425365617605956,gene set #2 (n = 130),2,6,-0.0913279872876364,-0.195962478720586,-0.195962478720586,gene set #2 (n = 130),2,6,-0.408035907296175,-0.22894903185774,-0.22894903185774,gene set #2 (n = 130),2,6,0.405195257674137,0.451761454705509,0.451761454705509,gene set #2 (n = 130),2
LRRC7,6,-0.0592771084523614,-0.0425365617605956,-0.0425365617605956,gene set #2 (n = 130),2,6,-0.178396799215007,-0.195962478720586,-0.195962478720586,gene set #2 (n = 130),2,6,0.0474434113711524,-0.22894903185774,-0.22894903185774,gene set #2 (n = 130),2,6,0.177767661303906,0.451761454705509,0.451761454705509,gene set #2 (n = 130),2
TNNI3K,3,0.248796362299155,0.314163424004578,0.314163424004578,gene set #4 (n = 120),4,3,-0.11880890074679,0.0462316049884328,0.0462316049884328,gene set #4 (n = 120),4,3,-0.392829407987569,-0.640088193907335,-0.640088193907335,gene set #4 (n = 120),4,3,0.310183942658404,0.335779898815192,0.335779898815192,gene set #4 (n = 120),4
ST6GALNAC3,6,-0.0921877767798112,-0.0425365617605956,-0.0425365617605956,gene set #2 (n = 130),2,6,0.0465139522680688,-0.195962478720586,-0.195962478720586,gene set #2 (n = 130),2,6,-0.391077282386369,-0.22894903185774,-0.22894903185774,gene set #2 (n = 130),2,6,0.405449381939017,0.451761454705509,0.451761454705509,gene set #2 (n = 130),2
LMO4,5,0.0503500458347781,-0.19488990843735,-0.19488990843735,gene set #3 (n = 192),3,5,-0.214752657988699,-0.181454812085187,-0.181454812085187,gene set #3 (n = 192),3,5,0.5431335649005,0.571728057847932,0.571728057847932,gene set #3 (n = 192),3,5,-0.353185209735977,-0.225698237789196,-0.225698237789196,gene set #3 (n = 192),3
TGFBR3,1,0.100089215334897,0.342931763470146,0.342931763470146,gene set #1 (n = 135),1,1,-0.0155501218146145,-0.28279541244214,-0.28279541244214,gene set #1 (n = 135),1,1,0.573484476034738,0.066746385449054,0.066746385449054,gene set #1 (n = 135),1,1,-0.620221328169155,-0.0460331914339735,-0.0460331914339735,gene set #1 (n = 135),1
ARHGAP29,1,0.352623668629366,0.342931763470146,0.342931763470146,gene set #1 (n = 135),1,1,-0.244453287588009,-0.28279541244214,-0.28279541244214,gene set #1 (n = 135),1,1,0.124432647432113,0.066746385449054,0.066746385449054,gene set #1 (n = 135),1,1,-0.148037755009459,-0.0460331914339735,-0.0460331914339735,gene set #1 (n = 135),1
F3,1,0.781600563573006,0.342931763470146,0.342931763470146,gene set #1 (n = 135),1,1,-0.469704015240039,-0.28279541244214,-0.28279541244214,gene set #1 (n = 135),1,1,-0.45013504990051,0.066746385449054,0.066746385449054,gene set #1 (n = 135),1,1,0.30706593803566,-0.0460331914339735,-0.0460331914339735,gene set #1 (n = 135),1
SLC44A3,6,0.243910692610044,-0.0425365617605956,-0.0425365617605956,gene set #2 (n = 130),2,6,-0.422502085101068,-0.195962478720586,-0.195962478720586,gene set #2 (n = 130),2,6,-0.207210218501454,-0.22894903185774,-0.22894903185774,gene set #2 (n = 130),2,6,0.43677561137681,0.451761454705509,0.451761454705509,gene set #2 (n = 130),2
CNN3,1,0.14499447068635,0.342931763470146,0.342931763470146,gene set #1 (n = 135),1,1,-0.301372172371692,-0.28279541244214,-0.28279541244214,gene set #1 (n = 135),1,1,0.272810314175113,0.066746385449054,0.066746385449054,gene set #1 (n = 135),1,1,-0.0759772137627899,-0.0460331914339735,-0.0460331914339735,gene set #1 (n = 135),1
RWDD3,3,0.280486450253783,0.314163424004578,0.314163424004578,gene set #4 (n = 120),4,3,0.0422611968283427,0.0462316049884328,0.0462316049884328,gene set #4 (n = 120),4,3,-0.657468365546479,-0.640088193907335,-0.640088193907335,gene set #4 (n = 120),4,3,0.382590197611469,0.335779898815192,0.335779898815192,gene set #4 (n = 120),4
AHCYL1,6,0.275375924571587,-0.0425365617605956,-0.0425365617605956,gene set #2 (n = 130),2,6,-0.266578891052852,-0.195962478720586,-0.195962478720586,gene set #2 (n = 130),2,6,-0.443941050940456,-0.22894903185774,-0.22894903185774,gene set #2 (n = 130),2,6,0.487309203837203,0.451761454705509,0.451761454705509,gene set #2 (n = 130),2
KCND3,1,0.404800785993978,0.342931763470146,0.342931763470146,gene set #1 (n = 135),1,1,-0.415709893851291,-0.28279541244214,-0.28279541244214,gene set #1 (n = 135),1,1,0.148225409718707,0.066746385449054,0.066746385449054,gene set #1 (n = 135),1,1,-0.040100084331535,-0.0460331914339735,-0.0460331914339735,gene set #1 (n = 135),1
TXNIP,4,0.0649804774193721,-0.185068624920097,-0.185068624920097,gene set #5 (n = 96),5,4,0.0779253837700741,0.412764037994001,0.412764037994001,gene set #5 (n = 96),5,4,-0.373645993218613,-0.29677279312023,-0.29677279312023,gene set #5 (n = 96),5,4,0.236154960325468,0.0187596770360405,0.0187596770360405,gene set #5 (n = 96),5
PDE4DIP,2,-0.788773266344867,-0.376877182352108,-0.376877182352108,gene set #6 (n = 125),6,2,0.50399322716221,0.174537378747613,0.174537378747613,gene set #6 (n = 125),6,2,0.382443415443767,0.61885774258572,0.61885774258572,gene set #6 (n = 125),6,2,-0.269881734765213,-0.487621449201309,-0.487621449201309,gene set #6 (n = 125),6
OTUD7B,5,-0.0289161432933812,-0.19488990843735,-0.19488990843735,gene set #3 (n = 192),3,5,-0.199871727368186,-0.181454812085187,-0.181454812085187,gene set #3 (n = 192),3,5,0.231728157288752,0.571728057847932,0.571728057847932,gene set #3 (n = 192),3,5,-0.00367149514902191,-0.225698237789196,-0.225698237789196,gene set #3 (n = 192),3
S100A6,5,0.00227822630310516,-0.19488990843735,-0.19488990843735,gene set #3 (n = 192),3,5,-0.159451882315804,-0.181454812085187,-0.181454812085187,gene set #3 (n = 192),3,5,0.335885494063416,0.571728057847932,0.571728057847932,gene set #3 (n = 192),3,5,-0.169573644953502,-0.225698237789196,-0.225698237789196,gene set #3 (n = 192),3
S100A1,1,0.0576638421414137,0.342931763470146,0.342931763470146,gene set #1 (n = 135),1,1,-0.011620952422243,-0.28279541244214,-0.28279541244214,gene set #1 (n = 135),1,1,0.267299445135872,0.066746385449054,0.066746385449054,gene set #1 (n = 135),1,1,-0.29318146243431,-0.0460331914339735,-0.0460331914339735,gene set #1 (n = 135),1
RPS27,1,0.212334017099845,0.342931763470146,0.342931763470146,gene set #1 (n = 135),1,1,-0.252719181622476,-0.28279541244214,-0.28279541244214,gene set #1 (n = 135),1,1,0.158077512018368,0.066746385449054,0.066746385449054,gene set #1 (n = 135),1,1,-0.0646389201645329,-0.0460331914339735,-0.0460331914339735,gene set #1 (n = 135),1
IL6R,6,0.214945861308596,-0.0425365617605956,-0.0425365617605956,gene set #2 (n = 130),2,6,-0.303153602926193,-0.195962478720586,-0.195962478720586,gene set #2 (n = 130),2,6,-0.324215058914708,-0.22894903185774,-0.22894903185774,gene set #2 (n = 130),2,6,0.45371248496468,0.451761454705509,0.451761454705509,gene set #2 (n = 130),2
KCNN3,4,-0.547637105233557,-0.185068624920097,-0.185068624920097,gene set #5 (n = 96),5,4,0.213581982069802,0.412764037994001,0.412764037994001,gene set #5 (n = 96),5,4,0.013703608277819,-0.29677279312023,-0.29677279312023,gene set #5 (n = 96),5,4,0.194325095941725,0.0187596770360405,0.0187596770360405,gene set #5 (n = 96),5
PBXIP1,2,-0.455786859739448,-0.376877182352108,-0.376877182352108,gene set #6 (n = 125),6,2,0.189068061659954,0.174537378747613,0.174537378747613,gene set #6 (n = 125),6,2,0.64318840931758,0.61885774258572,0.61885774258572,gene set #6 (n = 125),6,2,-0.46515918375956,-0.487621449201309,-0.487621449201309,gene set #6 (n = 125),6
IFI16,6,0.0749545204119115,-0.0425365617605956,-0.0425365617605956,gene set #2 (n = 130),2,6,-0.215921537097109,-0.195962478720586,-0.195962478720586,gene set #2 (n = 130),2,6,-0.0927514311036651,-0.22894903185774,-0.22894903185774,gene set #2 (n = 130),2,6,0.248637402983825,0.451761454705509,0.451761454705509,gene set #2 (n = 130),2
KCNJ10,2,-0.339300768891055,-0.376877182352108,-0.376877182352108,gene set #6 (n = 125),6,2,0.242779064320748,0.174537378747613,0.174537378747613,gene set #6 (n = 125),6,2,0.629288621160743,0.61885774258572,0.61885774258572,gene set #6 (n = 125),6,2,-0.594931488356046,-0.487621449201309,-0.487621449201309,gene set #6 (n = 125),6
DDR2,5,-0.138085393378907,-0.19488990843735,-0.19488990843735,gene set #3 (n = 192),3,5,-0.156332361620328,-0.181454812085187,-0.181454812085187,gene set #3 (n = 192),3,5,0.586053132227571,0.571728057847932,0.571728057847932,gene set #3 (n = 192),3,5,-0.308474233848403,-0.225698237789196,-0.225698237789196,gene set #3 (n = 192),3
CACYBP,5,-0.357611007582896,-0.19488990843735,-0.19488990843735,gene set #3 (n = 192),3,5,-0.131345194618871,-0.181454812085187,-0.181454812085187,gene set #3 (n = 192),3,5,0.696194284088552,0.571728057847932,0.571728057847932,gene set #3 (n = 192),3,5,-0.271912563531849,-0.225698237789196,-0.225698237789196,gene set #3 (n = 192),3
PAPPA2,3,0.446227330947942,0.314163424004578,0.314163424004578,gene set #4 (n = 120),4,3,0.0156993860185511,0.0462316049884328,0.0462316049884328,gene set #4 (n = 120),4,3,-0.642623930419556,-0.640088193907335,-0.640088193907335,gene set #4 (n = 120),4,3,0.267195214686703,0.335779898815192,0.335779898815192,gene set #4 (n = 120),4
BRINP2,6,-0.0336455380419389,-0.0425365617605956,-0.0425365617605956,gene set #2 (n = 130),2,6,-0.228295224366539,-0.195962478720586,-0.195962478720586,gene set #2 (n = 130),2,6,-0.361316959557668,-0.22894903185774,-0.22894903185774,gene set #2 (n = 130),2,6,0.606228829608835,0.451761454705509,0.451761454705509,gene set #2 (n = 130),2
GLUL,4,-0.0127962704019232,-0.185068624920097,-0.185068624920097,gene set #5 (n = 96),5,4,0.22459673629228,0.412764037994001,0.412764037994001,gene set #5 (n = 96),5,4,0.180861332021709,-0.29677279312023,-0.29677279312023,gene set #5 (n = 96),5,4,-0.390977313337594,0.0187596770360405,0.0187596770360405,gene set #5 (n = 96),5
NPL,4,-0.457996121775302,-0.185068624920097,-0.185068624920097,gene set #5 (n = 96),5,4,0.669035712860692,0.412764037994001,0.412764037994001,gene set #5 (n = 96),5,4,-0.463226045968816,-0.29677279312023,-0.29677279312023,gene set #5 (n = 96),5,4,0.134617451243771,0.0187596770360405,0.0187596770360405,gene set #5 (n = 96),5
NIBAN1,6,-0.152656315524118,-0.0425365617605956,-0.0425365617605956,gene set #2 (n = 130),2,6,-0.236178489816115,-0.195962478720586,-0.195962478720586,gene set #2 (n = 130),2,6,-0.162588695610211,-0.22894903185774,-0.22894903185774,gene set #2 (n = 130),2,6,0.512026179531796,0.451761454705509,0.451761454705509,gene set #2 (n = 130),2
CRB1,4,0.195745372841969,-0.185068624920097,-0.185068624920097,gene set #5 (n = 96),5,4,0.329915144542691,0.412764037994001,0.412764037994001,gene set #5 (n = 96),5,4,-0.505210684048128,-0.29677279312023,-0.29677279312023,gene set #5 (n = 96),5,4,0.0117680556770466,0.0187596770360405,0.0187596770360405,gene set #5 (n = 96),5
CSRP1,2,-0.554068655169181,-0.376877182352108,-0.376877182352108,gene set #6 (n = 125),6,2,0.537870330753935,0.174537378747613,0.174537378747613,gene set #6 (n = 125),6,2,0.606226717164184,0.61885774258572,0.61885774258572,gene set #6 (n = 125),6,2,-0.702346115296591,-0.487621449201309,-0.487621449201309,gene set #6 (n = 125),6
NAV1,3,0.468527964829379,0.314163424004578,0.314163424004578,gene set #4 (n = 120),4,3,-0.163612060991918,0.0462316049884328,0.0462316049884328,gene set #4 (n = 120),4,3,-0.560508928132661,-0.640088193907335,-0.640088193907335,gene set #4 (n = 120),4,3,0.349342838534476,0.335779898815192,0.335779898815192,gene set #4 (n = 120),4
LMOD1,3,0.512624653475914,0.314163424004578,0.314163424004578,gene set #4 (n = 120),4,3,-0.356840375175092,0.0462316049884328,0.0462316049884328,gene set #4 (n = 120),4,3,-0.47360213541929,-0.640088193907335,-0.640088193907335,gene set #4 (n = 120),4,3,0.423972209576518,0.335779898815192,0.335779898815192,gene set #4 (n = 120),4
GPR37L1,2,-0.251652998454764,-0.376877182352108,-0.376877182352108,gene set #6 (n = 125),6,2,0.29227564888764,0.174537378747613,0.174537378747613,gene set #6 (n = 125),6,2,0.312900238998199,0.61885774258572,0.61885774258572,gene set #6 (n = 125),6,2,-0.403573575254015,-0.487621449201309,-0.487621449201309,gene set #6 (n = 125),6
CHI3L1,6,0.14963362362362,-0.0425365617605956,-0.0425365617605956,gene set #2 (n = 130),2,6,-0.408798085597958,-0.195962478720586,-0.195962478720586,gene set #2 (n = 130),2,6,-0.0471135126577157,-0.22894903185774,-0.22894903185774,gene set #2 (n = 130),2,6,0.339600772066794,0.451761454705509,0.451761454705509,gene set #2 (n = 130),2
ATP2B4,2,-0.337641546042542,-0.376877182352108,-0.376877182352108,gene set #6 (n = 125),6,2,0.0869440628044059,0.174537378747613,0.174537378747613,gene set #6 (n = 125),6,2,0.539636450296106,0.61885774258572,0.61885774258572,gene set #6 (n = 125),6,2,-0.353019414855066,-0.487621449201309,-0.487621449201309,gene set #6 (n = 125),6
TGFB2,1,0.305701217192761,0.342931763470146,0.342931763470146,gene set #1 (n = 135),1,1,-0.397898913720814,-0.28279541244214,-0.28279541244214,gene set #1 (n = 135),1,1,0.501395426389971,0.066746385449054,0.066746385449054,gene set #1 (n = 135),1,1,-0.325795002140769,-0.0460331914339735,-0.0460331914339735,gene set #1 (n = 135),1
EPHX1,2,-0.270724417507245,-0.376877182352108,-0.376877182352108,gene set #6 (n = 125),6,2,0.0195251456613035,0.174537378747613,0.174537378747613,gene set #6 (n = 125),6,2,0.640959717205435,0.61885774258572,0.61885774258572,gene set #6 (n = 125),6,2,-0.43580044639436,-0.487621449201309,-0.487621449201309,gene set #6 (n = 125),6
GALNT2,6,0.0187205876791506,-0.0425365617605956,-0.0425365617605956,gene set #2 (n = 130),2,6,-0.363163748721763,-0.195962478720586,-0.195962478720586,gene set #2 (n = 130),2,6,-0.0831312459162075,-0.22894903185774,-0.22894903185774,gene set #2 (n = 130),2,6,0.429762972168978,0.451761454705509,0.451761454705509,gene set #2 (n = 130),2
SIPA1L2,6,0.0347566321993874,-0.0425365617605956,-0.0425365617605956,gene set #2 (n = 130),2,6,-0.38488276148932,-0.195962478720586,-0.195962478720586,gene set #2 (n = 130),2,6,-0.184851661646398,-0.22894903185774,-0.22894903185774,gene set #2 (n = 130),2,6,0.53825876601705,0.451761454705509,0.451761454705509,gene set #2 (n = 130),2
PCNX2,3,0.35755195365394,0.314163424004578,0.314163424004578,gene set #4 (n = 120),4,3,-0.104204737884143,0.0462316049884328,0.0462316049884328,gene set #4 (n = 120),4,3,-0.715415869908035,-0.640088193907335,-0.640088193907335,gene set #4 (n = 120),4,3,0.526236646778685,0.335779898815192,0.335779898815192,gene set #4 (n = 120),4
TARBP1,3,0.567379489525318,0.314163424004578,0.314163424004578,gene set #4 (n = 120),4,3,-0.107052774522656,0.0462316049884328,0.0462316049884328,gene set #4 (n = 120),4,3,-0.752108141639969,-0.640088193907335,-0.640088193907335,gene set #4 (n = 120),4,3,0.403430330844689,0.335779898815192,0.335779898815192,gene set #4 (n = 120),4
MTR,3,0.195871614697053,0.314163424004578,0.314163424004578,gene set #4 (n = 120),4,3,-0.0536132581764311,0.0462316049884328,0.0462316049884328,gene set #4 (n = 120),4,3,-0.706948698020693,-0.640088193907335,-0.640088193907335,gene set #4 (n = 120),4,3,0.591764593660399,0.335779898815192,0.335779898815192,gene set #4 (n = 120),4
CATSPERE,3,0.443310451760942,0.314163424004578,0.314163424004578,gene set #4 (n = 120),4,3,0.103523784271594,0.0462316049884328,0.0462316049884328,gene set #4 (n = 120),4,3,-0.694897630844239,-0.640088193907335,-0.640088193907335,gene set #4 (n = 120),4,3,0.23254791878617,0.335779898815192,0.335779898815192,gene set #4 (n = 120),4
ID2,1,0.414073223582239,0.342931763470146,0.342931763470146,gene set #1 (n = 135),1,1,0.0773691586159344,-0.28279541244214,-0.28279541244214,gene set #1 (n = 135),1,1,-0.0949991440079626,0.066746385449054,0.066746385449054,gene set #1 (n = 135),1,1,-0.303323754389385,-0.0460331914339735,-0.0460331914339735,gene set #1 (n = 135),1
LPIN1,6,-0.505286040745846,-0.0425365617605956,-0.0425365617605956,gene set #2 (n = 130),2,6,0.169356993432114,-0.195962478720586,-0.195962478720586,gene set #2 (n = 130),2,6,-0.231508679439092,-0.22894903185774,-0.22894903185774,gene set #2 (n = 130),2,6,0.444897135825858,0.451761454705509,0.451761454705509,gene set #2 (n = 130),2
